name_product,hydration
3CE_드롭글로우젤_CALMING,2.5
3CE_드롭글로우젤_ESSENTIAL,2.882352941
3CE_드롭글로우젤_MILDER,2.785714286
3CE_드롭글로우젤_NEAT,2.75
3CE_드롭글로우젤_RAWAPPLE,2.807692308
3CE_드롭글로우젤_SHY,2.533333333
3CE_드롭글로우젤_VERYSURE,2.777777778
3CE_드롭글로우젤_WEEKEND,2.692307692
3CE_드롭글로우젤_WONDER,2.666666667
3CE_드롭글로우젤_YOUTH,2.666666667
3CE_벨벳립틴트_BITTERHOUR,1.5
3CE_벨벳립틴트_BestEVER,2.529411765
3CE_벨벳립틴트_CASHMERENUDE,1.736842105
3CE_벨벳립틴트_CHEEKYROSE,2.333333333
3CE_벨벳립틴트_CHILDLIKE,1.894736842
3CE_벨벳립틴트_COZYCRUSH,2.1
3CE_벨벳립틴트_DAFFODIL,1.815789474
3CE_벨벳립틴트_DEFINITION,1.5
3CE_벨벳립틴트_FADEIN,1.625
3CE_벨벳립틴트_GOINGRIGHT,1.947368421
3CE_벨벳립틴트_LIKEGENTLE,1.8
3CE_벨벳립틴트_NEARANDDEAR,1.333333333
3CE_벨벳립틴트_NEWNUDE,1.714285714
3CE_벨벳립틴트_PINKBREAK,1.375
3CE_벨벳립틴트_PRIVATE,2
3CE_벨벳립틴트_SAVEME,3
3CE_벨벳립틴트_SLOWMOTION,2
3CE_벨벳립틴트_SPEAKUP,1.75
3CE_벨벳립틴트_TAUPE,2
3CE_벨벳립틴트_THINKAGAIN,2.75
3CE_벨벳립틴트_WALKNTALK,3
3CE_블러매트립스틱_APRICOT,2.142857143
3CE_블러매트립스틱_APRICOTFILTER,1.5
3CE_블러매트립스틱_BEEZYMELODY,1.833333333
3CE_블러매트립스틱_INTHEFOG,1.369565217
3CE_블러매트립스틱_MAUVEDRIZZLE,2
3CE_블러매트립스틱_MISTYDAY,1.545454545
3CE_블러매트립스틱_NEWTROWAVE,2.333333333
3CE_블러매트립스틱_PEANUTBEIGE,1.625
3CE_블러매트립스틱_PURELAYER,2
3CE_블러매트립스틱_ROSINESS,1.634146341
3CE_블러매트립스틱_SALTYCINNAMON,1.5
3CE_블러매트립스틱_TANGERINETANGO,2.428571429
3CE_블러매트립스틱_UNKNOWNWAY,1.571428571
3CE_블러워터틴트_BAKEBEIGE,2
3CE_블러워터틴트_CASUALAFFAIR,2.166666667
3CE_블러워터틴트_CHASINGROSE,2.181818182
3CE_블러워터틴트_CORALMOON,2.285714286
3CE_블러워터틴트_DEARMARCH,2.25
3CE_블러워터틴트_DOUBLEWIND,2.266666667
3CE_블러워터틴트_EARLYHOUR,2
3CE_블러워터틴트_FIRSTLETTER,3
3CE_블러워터틴트_LAYDOWN,2.107692308
3CE_블러워터틴트_MOREPEACH,2
3CE_블러워터틴트_NIGHTTALK,2.153846154
3CE_블러워터틴트_PINKGUAVA,2.222222222
3CE_블러워터틴트_SPOTPLAYER,2.142857143
3CE_블러워터틴트_WARMTH,1
3CE_샤인리플렉터_COLDSET,3
3CE_샤인리플렉터_LILACGLAZE,2.916666667
3CE_샤인리플렉터_MILKYSHADOW,2.714285714
3CE_샤인리플렉터_NECTAR,2.777777778
3CE_샤인리플렉터_OPALSHOWER,2.714285714
3CE_샤인리플렉터_RAINORSHINE,2.708333333
3CE_샤인리플렉터_SOFTEST,2.947368421
3CE_소프트매트립스틱_ HAZYROSE,1.666666667
3CE_소프트매트립스틱_ MURMURING,1.75
3CE_소프트매트립스틱_ SOFT MELLOW,1.5
3CE_소프트매트립스틱_ WAYBACK,1.621212121
3CE_소프트매트립스틱_CHILLMOVE,1.888888889
3CE_소프트매트립스틱_FLUFFYLOVE,2.333333333
3CE_소프트매트립스틱_FOCUSONME,1.666666667
3CE_소프트매트립스틱_ORANGEBREEZE,1
3CE_소프트매트립스틱_REDMUSE,1.5
3CE_소프트매트립스틱_SENSUALBREEZE,1
3CE_소프트매트립스틱_SPEAKTOME,1
3CE_소프트매트립스틱_WARMISHMOVE,1.625
누즈_무스립추얼_러비코랄,2.083333333
누즈_무스립추얼_모브레인,2.222222222
누즈_무스립추얼_무스비레드,1.692307692
누즈_무스립추얼_베어베이지,2
누즈_무스립추얼_키치핑크,2
누즈_무스립추얼_플럼미,2
누즈_케어립추얼_디핀체리,2
누즈_케어립추얼_레디쉬허,3
누즈_케어립추얼_릴리즈체리,2.85
누즈_케어립추얼_모어라일락,3
누즈_케어립추얼_몰튼피넛,2
누즈_케어립추얼_코드네임콜드,2.5
누즈_케어립추얼_쿨리쉬,2.9
누즈_케어립추얼_쿨베이브,3
누즈_케어립추얼_탠드아워,3
누즈_케어립추얼_포지로지,2.666666667
누즈_케어립추얼_헤이즈베이지,2.7
데이지크_워터블러틴트_라벤더크림,1.666666667
데이지크_워터블러틴트_로지코랄,1.285714286
데이지크_워터블러틴트_리치피치,2
데이지크_워터블러틴트_베리베리,1.75
데이지크_워터블러틴트_베리에이드,1.8
데이지크_워터블러틴트_스윗모브,1.666666667
데이지크_워터블러틴트_저스트피치,1.875
데이지크_워터블러틴트_칠링,1.6
데이지크_워터블러틴트_피치듀,2
데이지크_워터블러틴트_피치에이드,1
데이지크_쥬시듀이틴트_러브코랄,3
데이지크_쥬시듀이틴트_멜론샤벳,3
데이지크_쥬시듀이틴트_모브무드,3
데이지크_쥬시듀이틴트_모브베리,2.777777778
데이지크_쥬시듀이틴트_베리모찌,2
데이지크_쥬시듀이틴트_베리슈,2
데이지크_쥬시듀이틴트_사쿠라파르페,3
데이지크_쥬시듀이틴트_스위티핑크,2.75
데이지크_쥬시듀이틴트_오렌지콕,3
데이지크_쥬시듀이틴트_체리소다,2.25
데이지크_쥬시듀이틴트_칠리셔벗,2.5
데이지크_쥬시듀이틴트_코랄피즈,2.4
데이지크_쥬시듀이틴트_파파야밀크,2.333333333
데이지크_쥬시듀이틴트_플럼듀,2.555555556
데이지크_쥬시듀이틴트_피그베리,2.8
데이지크_쥬시듀이틴트_피그플럼,2
데이지크_쥬시듀이틴트_피치크러쉬,3
데이지크_쥬시듀이틴트_피치푸딩,2.5
데이지크_쥬시듀이틴트_핑크구아바,3
데이지크_크림드버터틴트_모브크림,1.894736842
데이지크_크림드버터틴트_솔티드버터,1.807692308
데이지크_크림드버터틴트_카라멜브릭,2.4
데이지크_크림드버터틴트_카라멜브릭 ,1.8125
데이지크_크림드버터틴트_코튼플럼,1.931034483
데이지크_푸르티립잼_라즈베리잼,3
데이지크_푸르티립잼_무화과잼,3
데이지크_푸르티립잼_복숭아잼,3
데이지크_푸르티립잼_애플잼,3
데이지크_푸르티립잼_쥬쥬브잼,3
데이지크_푸르티립잼_크랜베리잼,2.333333333
딘토_블러글로이립틴트_그라티아,2.333333333
딘토_블러글로이립틴트_노빌리타스,3
딘토_블러글로이립틴트_데보티오,3
딘토_블러글로이립틴트_데코럼,3
딘토_블러글로이립틴트_디그니타스,2.5
딘토_블러글로이립틴트_디비니타스,2.875
딘토_블러글로이립틴트_레베렌티아,2.454545455
딘토_블러글로이립틴트_리베르타스,2.333333333
딘토_블러글로이립틴트_메멘토모리,2.857142857
딘토_블러글로이립틴트_모데스티아,2.5
딘토_블러글로이립틴트_무니아,2.857142857
딘토_블러글로이립틴트_베누스,2.5
딘토_블러글로이립틴트_베니아,3
딘토_블러글로이립틴트_보눔,2.25
딘토_블러글로이립틴트_수이파마,2.857142857
딘토_블러글로이립틴트_스페스,3
딘토_블러글로이립틴트_아모르파티,2.285714286
딘토_블러글로이립틴트_아베마리아,2.619047619
딘토_블러글로이립틴트_유스티티아,2.72
딘토_블러글로이립틴트_코르,3
딘토_블러글로이립틴트_코지타티오,2.65
딘토_블러글로이립틴트_테메트노스케,2.636363636
딘토_블러글로이립틴트_테오볼렌테,2.666666667
딘토_블러글로이립틴트_팍스,2.6
딘토_블러글로이립틴트_팍스로마나,3
딘토_블러글로이립틴트_피데스,2.75
