File Name,color,Color Index,Red,Green,Blue,Max Proportion,HEX,Price,formulation,date,saturation,lightness,tone
3CE_드롭글로우젤_CALMING,,1,163,79,96,100.00%,#a34f60,"18,000",글로시,5,52,47,strong
3CE_드롭글로우젤_ESSENTIAL,,1,166,84,88,58.71%,#a65458,"18,000",글로시,5,49,49,dull
3CE_드롭글로우젤_MILDER,,1,185,81,110,100.00%,#b9516e,"18,000",글로시,5,56,52,strong
3CE_드롭글로우젤_NEAT,,1,195,77,92,93.65%,#c34d5c,"18,000",글로시,5,61,53,strong
3CE_드롭글로우젤_RAWAPPLE,,1,209,36,73,70.15%,#d12449,"18,000",글로시,5,83,48,vivid
3CE_드롭글로우젤_SHY,,1,219,59,91,100.00%,#db3b5b,"18,000",글로시,5,73,55,strong
3CE_드롭글로우젤_VERYSURE,,1,153,42,65,72.20%,#992a41,"18,000",글로시,5,73,38,deep
3CE_드롭글로우젤_WEEKEND,,1,146,68,66,99.97%,#924442,"18,000",글로시,5,55,42,deep
3CE_드롭글로우젤_WONDER,,1,123,38,70,99.47%,#7b2646,"18,000",글로시,5,69,32,deep
3CE_드롭글로우젤_YOUTH,,1,219,98,97,54.77%,#db6261,"18,000",글로시,5,56,62,strong
3CE_벨벳립틴트_ABSORBED,,1,203,60,67,78.05%,#cb3c43,"18,000",매트,176,70,52,strong
3CE_벨벳립틴트_BESTEVER,,1,228,8,31,99.54%,#e4081f,"18,000",매트,176,96,46,vivid
3CE_벨벳립틴트_BITTERHOUR,,1,144,69,47,100.00%,#90452f,"18,000",매트,176,67,37,deep
3CE_벨벳립틴트_CASHMERENUDE,,1,202,102,100,83.79%,#ca6664,"18,000",매트,176,50,59,strong
3CE_벨벳립틴트_CHIDLIKE,,1,225,28,4,92.63%,#e11c04,"18,000",매트,176,98,45,vivid
3CE_벨벳립틴트_COZYCRUSH,,1,203,126,125,81.24%,#cb7e7d,"18,000",매트,176,38,64,soft
3CE_벨벳립틴트_DAFFODIL,,1,191,59,50,97.36%,#bf3b32,"18,000",매트,176,74,47,strong
3CE_벨벳립틴트_DEFINITION,,1,130,34,36,66.88%,#822224,"18,000",매트,176,74,32,deep
3CE_벨벳립틴트_FADEIN,,1,151,78,93,90.35%,#974e5d,"18,000",매트,176,48,45,dull
3CE_벨벳립틴트_GOINGRIGHT,,1,207,86,76,100.00%,#cf564c,"18,000",매트,176,63,55,strong
3CE_벨벳립틴트_KNOWBETTER,,1,161,48,80,100.00%,#a13050,"18,000",매트,176,70,41,deep
3CE_벨벳립틴트_LIKEGENTLE,,1,216,117,99,99.24%,#d87563,"18,000",매트,176,54,62,strong
3CE_벨벳립틴트_NEWNUDE,,1,218,118,93,100.00%,#da765d,"18,000",매트,176,57,61,strong
3CE_벨벳립틴트_PINKBREAK,,1,229,83,106,100.00%,#e5536a,"18,000",매트,176,64,61,strong
3CE_벨벳립틴트_PRIVATE,,1,181,0,0,74.74%,#b50000,"18,000",매트,176,100,35,vivid
3CE_벨벳립틴트_SIMPLYSPEAKING,,1,218,63,51,99.24%,#da3f33,"18,000",매트,176,77,53,vivid
3CE_벨벳립틴트_SPEAKUP,,1,150,53,39,82.51%,#963527,"18,000",매트,176,74,37,deep
3CE_벨벳립틴트_TAUPE,,1,125,36,6,87.27%,#7d2406,"18,000",매트,176,95,26,vivid
3CE_벨벳립틴트_THINKAGAIN,,1,210,97,78,99.74%,#d2614e,"18,000",매트,176,63,56,strong
3CE_벨벳립틴트_WALKNWALK,,1,185,100,81,91.24%,#b96451,"18,000",매트,176,56,52,strong
3CE_블러매트립스틱_BREEZY MELODY,,1,179,76,67,97.88%,#b34c43,"22,000",매트,89,63,48,strong
3CE_블러매트립스틱_INTHEFOG,,1,187,117,117,70.91%,#bb7575,"22,000",매트,89,37,60,soft
3CE_블러매트립스틱_MAUVEDRIZZLE,,1,121,41,56,97.59%,#792938,"22,000",매트,89,66,32,deep
3CE_블러매트립스틱_MISTYDAY,,1,189,68,85,74.55%,#bd4455,"22,000",매트,89,64,50,strong
3CE_블러매트립스틱_NEWTROWAVE,,1,141,51,49,100.00%,#8d3331,"22,000",매트,89,65,37,deep
3CE_블러매트립스틱_PEANUTBEIGE,,1,170,104,87,80.93%,#aa6857,"22,000",매트,89,49,50,dull
3CE_블러매트립스틱_PURELAYER,,1,201,87,92,95.93%,#c9575c,"22,000",매트,89,57,56,strong
3CE_블러매트립스틱_SALTYCINNAMON,,1,134,76,68,100.00%,#864c44,"22,000",매트,89,49,40,dull
3CE_블러매트립스틱_TANGERINETANGO,,1,165,68,63,100.00%,#a5443f,"22,000",매트,89,62,45,strong
3CE_블러매트립스틱_UNKNOWNWAY,,1,145,83,99,100.00%,#915363,"22,000",매트,89,43,45,dull
3CE_블러워터틴트_BAKEBEIGE,,1,192,93,69,72.79%,#c05d45,"18,000",워터블러,158,64,51,strong
3CE_블러워터틴트_BREEZEWAY,,1,209,94,60,98.68%,#d15e3c,"18,000",워터블러,158,71,53,strong
3CE_블러워터틴트_CASUALAFFAIR,,1,194,68,72,51.04%,#c24448,"18,000",워터블러,158,65,51,strong
3CE_블러워터틴트_CHASINGROSE,,1,211,97,93,100.00%,#d3615d,"18,000",워터블러,158,56,60,strong
3CE_블러워터틴트_CORALMOON,,1,217,75,66,100.00%,#d94b42,"18,000",워터블러,158,70,55,strong
3CE_블러워터틴트_DEARMARCH,,1,186,101,94,100.00%,#ba655e,"18,000",워터블러,158,49,55,soft
3CE_블러워터틴트_DOUBLEWIND,,1,169,53,62,100.00%,#a9353e,"18,000",워터블러,158,69,44,deep
3CE_블러워터틴트_EARLYHOUR,,1,185,79,74,62.31%,#b94f4a,"18,000",워터블러,158,60,51,strong
3CE_블러워터틴트_FIRSTLETTER,,1,214,89,75,100.00%,#d6594b,"18,000",워터블러,158,65,57,strong
3CE_블러워터틴트_LAYDOWN,,1,189,88,73,81.09%,#bd5849,"18,000",워터블러,158,61,51,strong
3CE_블러워터틴트_MOREPEACH,,1,229,125,78,100.00%,#e57d4e,"18,000",워터블러,158,66,60,strong
3CE_블러워터틴트_NIGHTTALK,,1,186,95,100,100.00%,#ba5f64,"18,000",워터블러,158,49,55,soft
3CE_블러워터틴트_PINKGUAVA,,1,214,65,72,100.00%,#d64148,"18,000",워터블러,158,70,55,strong
3CE_블러워터틴트_PLAYOFF,,1,217,28,31,48.86%,#d91c1f,"18,000",워터블러,158,87,48,vivid
3CE_블러워터틴트_SEPIA,,1,181,56,53,97.65%,#b53835,"18,000",워터블러,158,71,46,strong
3CE_블러워터틴트_SPOTPLAYER,,1,222,45,64,95.21%,#de2d40,"18,000",워터블러,158,80,52,vivid
3CE_블러워터틴트_WARMTH,,1,205,114,96,98.55%,#cd7260,"18,000",워터블러,158,53,59,strong
3CE_샤인리플렉터_COLDEST,,1,126,64,80,100.00%,#7e4050,"19,000",글로시,29,49,37,dull
3CE_샤인리플렉터_LILACGLAZE,,1,186,115,134,100.00%,#ba7386,"19,000",글로시,29,38,59,soft
3CE_샤인리플렉터_MILKYSHADOW,,1,176,126,107,99.99%,#b07e6b,"19,000",글로시,29,39,55,soft
3CE_샤인리플렉터_NECTAR,,1,125,71,65,100.00%,#7d4741,"19,000",글로시,29,48,37,dull
3CE_샤인리플렉터_OPALSHOWER,,1,198,147,146,72.80%,#c69392,"19,000",글로시,29,26,67,soft
3CE_샤인리플렉터_RAINORSHINE,,1,199,103,110,99.17%,#c7676e,"19,000",글로시,29,48,59,soft
3CE_샤인리플렉터_SOFTEST,,1,204,131,124,100.00%,#cc837c,"19,000",글로시,29,39,64,soft
3CE_소프트매트립스틱_CHILLMOVE,,1,143,76,71,100.00%,#8f4c47,"19,000",매트,161,50,42,deep
3CE_소프트매트립스틱_ETERNALWARM,,1,175,112,91,82.37%,#af705b,"19,000",매트,161,48,52,dull
3CE_소프트매트립스틱_FOCUSONME,,1,208,114,97,80.91%,#d07261,"19,000",매트,161,53,60,strong
3CE_소프트매트립스틱_GIVINGPLEASURE,,1,200,105,85,61.66%,#c86955,"19,000",매트,161,58,56,strong
3CE_소프트매트립스틱_HAZYROSE,,1,163,83,82,61.88%,#a35352,"19,000",매트,161,50,48,strong
3CE_소프트매트립스틱_KINDNLOVE,,1,209,126,104,100.00%,#d17e68,"19,000",매트,161,50,61,strong
3CE_소프트매트립스틱_MURMURING,,1,208,129,117,100.00%,#d08175,"19,000",매트,161,44,64,soft
3CE_소프트매트립스틱_ORANGEBREEZE,,1,169,90,68,97.44%,#a95a44,"19,000",매트,161,60,46,strong
3CE_소프트매트립스틱_REDMUSE,,1,204,78,71,95.65%,#cc4e47,"19,000",매트,161,65,54,strong
3CE_소프트매트립스틱_SENSUALBREEZE,,1,178,106,94,95.10%,#b26a5e,"19,000",매트,161,47,53,dull
3CE_소프트매트립스틱_SMOKEPINK,,1,196,97,91,99.41%,#c4615b,"19,000",매트,161,54,56,strong
3CE_소프트매트립스틱_SOFTMELLOW,,1,189,106,84,94.50%,#bd6a54,"19,000",매트,161,56,54,strong
3CE_소프트매트립스틱_SPEAKTOME,,1,168,77,65,97.86%,#a84d41,"19,000",매트,161,61,46,strong
3CE_소프트매트립스틱_UNSTAINEDRED,,1,175,84,70,70.54%,#af5446,"19,000",매트,161,60,48,strong
3CE_소프트매트립스틱_WARMISHMOVE,,1,192,121,90,97.10%,#c0795a,"19,000",매트,161,53,55,strong
3CE_소프트매트립스틱_WARNINGWEAR,,1,212,128,96,100.00%,#d48060,"19,000",매트,161,55,60,strong
3CE_소프트매트립스틱_WAYBACK,,1,181,118,102,78.64%,#b57666,"19,000",매트,161,44,55,soft
3CE_헤이지립클레이_BUTTERBEIGE,,1,188,98,80,81.69%,#bc6250,"20,000",매트,57,57,53,strong
3CE_헤이지립클레이_CHERRYFLUFF,,1,174,68,81,71.60%,#ae4451,"20,000",매트,57,61,47,strong
3CE_헤이지립클레이_COMMONSTRANGER,,1,176,72,62,87.04%,#b0483e,"20,000",매트,57,65,47,strong
3CE_헤이지립클레이_FIGGY,,1,137,60,76,100.00%,#893c4c,"20,000",매트,57,56,39,deep
3CE_헤이지립클레이_HIPAMINE,,1,148,64,62,99.07%,#94403e,"20,000",매트,57,58,41,deep
3CE_헤이지립클레이_MAUVROWN,,1,180,92,101,99.83%,#b45c65,"20,000",매트,57,49,53,dull
3CE_헤이지립클레이_PAINTINGCOT,,1,170,64,66,94.08%,#aa4042,"20,000",매트,57,62,46,strong
3CE_헤이지립클레이_PLUMPUDDING,,1,121,33,52,98.15%,#792134,"20,000",매트,57,73,30,deep
3CE_헤이지립클레이_TYPEGIRL,,1,176,68,94,94.78%,#b0445e,"20,000",매트,57,61,48,strong
3CE_헤이지립클레이_WARMBROWNIE,,1,140,78,65,99.97%,#8c4e41,"20,000",매트,57,54,40,deep
3CE_헤이지립클레이_WHIPRED,,1,161,50,53,97.26%,#a13235,"20,000",매트,57,69,41,deep
네이밍_듀이글래스립틴트_데어,,1,213,99,73,79.64%,#d56349,"16,000",글로시,76,66,56,strong
네이밍_듀이글래스립틴트_리플,,1,229,82,62,100.00%,#e5523e,"16,000",글로시,76,73,57,strong
네이밍_듀이글래스립틴트_어바이드,,1,134,49,57,99.80%,#863139,"16,000",글로시,76,63,36,deep
네이밍_듀이글래스립틴트_컴리,,1,215,44,63,50.64%,#d72c3f,"16,000",글로시,76,80,51,vivid
네이밍_듀이글래스립틴트_페르소나,,1,231,90,107,99.67%,#e75a6b,"16,000",글로시,76,61,63,strong
네이밍_듀이글래스립틴트_페얼리,,1,73,8,26,100.00%,#49081a,"16,000",글로시,76,89,16,vivid
네이밍_듀이글래스립틴트_하운드,,1,149,73,88,100.00%,#954958,"16,000",글로시,76,51,44,deep
네이처리퍼블릭_허니멜팅립_고소한코코넛,,1,191,96,83,77.32%,#bf6053,"14,000",글로시,12,57,54,strong
네이처리퍼블릭_허니멜팅립_무화과한스푼,,1,253,167,157,99.70%,#fda79d,"14,000",글로시,12,38,80,light
네이처리퍼블릭_허니멜팅립_블랙체리슈,,1,229,89,123,88.63%,#e5597b,"14,000",글로시,12,61,62,strong
네이처리퍼블릭_허니멜팅립_살구가득,,1,218,121,96,100.00%,#da7960,"14,000",글로시,12,56,62,strong
네이처리퍼블릭_허니멜팅립_상큼달콤리치,,1,210,95,103,99.31%,#d25f67,"14,000",글로시,12,55,60,strong
네이처리퍼블릭_허니멜팅립_석류듬뿍,,1,222,67,62,88.07%,#de433e,"14,000",글로시,12,72,56,strong
