File Name,Color Index,Red,Green,Blue,Proportion
3CE_드롭글로우젤_CALMING.png,1,163,79,96,100.00%
3CE_드롭글로우젤_ESSENTIAL.png,1,166,84,88,58.71%
3CE_드롭글로우젤_ESSENTIAL.png,2,172,86,93,41.29%
3CE_드롭글로우젤_MILDER.png,1,185,81,110,100.00%
3CE_드롭글로우젤_NEAT.png,1,195,77,92,93.65%
3CE_드롭글로우젤_NEAT.png,2,184,67,83,6.35%
3CE_드롭글로우젤_RAWAPPLE.png,1,209,36,73,70.15%
3CE_드롭글로우젤_RAWAPPLE.png,2,220,41,78,29.85%
3CE_드롭글로우젤_SHY.png,1,219,59,91,100.00%
3CE_드롭글로우젤_VERYSURE.png,1,153,42,65,72.20%
3CE_드롭글로우젤_VERYSURE.png,2,146,37,57,27.80%
3CE_드롭글로우젤_WEEKEND.png,1,146,68,66,99.97%
3CE_드롭글로우젤_WEEKEND.png,2,153,74,75,0.03%
3CE_드롭글로우젤_WONDER.png,1,123,38,70,99.47%
3CE_드롭글로우젤_WONDER.png,2,129,44,75,0.53%
3CE_드롭글로우젤_YOUTH.png,1,219,98,97,54.77%
3CE_드롭글로우젤_YOUTH.png,2,225,99,100,24.57%
3CE_드롭글로우젤_YOUTH.png,3,228,104,102,20.66%
3CE_무드레시피매트립컬러_INKEDHEART.png,1,169,104,82,96.17%
3CE_무드레시피매트립컬러_INKEDHEART.png,2,171,107,85,3.83%
3CE_무드레시피매트립컬러_ROWS.png,1,184,116,94,56.26%
3CE_무드레시피매트립컬러_ROWS.png,2,182,113,92,43.74%
3CE_벨벳립틴트_ABSORBED.png,1,203,60,67,78.05%
3CE_벨벳립틴트_ABSORBED.png,2,201,51,58,21.95%
3CE_벨벳립틴트_BESTEVER.png,1,228,8,31,99.54%
3CE_벨벳립틴트_BESTEVER.png,2,231,19,40,0.36%
3CE_벨벳립틴트_BESTEVER.png,3,236,23,44,0.10%
3CE_벨벳립틴트_BITTERHOUR.png,1,144,69,47,100.00%
3CE_벨벳립틴트_CASHMERENUDE.png,1,202,102,100,83.79%
3CE_벨벳립틴트_CASHMERENUDE.png,2,203,101,102,8.67%
3CE_벨벳립틴트_CASHMERENUDE.png,3,205,109,106,7.54%
3CE_벨벳립틴트_CHIDLIKE.png,1,225,28,4,92.63%
3CE_벨벳립틴트_CHIDLIKE.png,2,223,21,0,7.37%
3CE_벨벳립틴트_COZYCRUSH.png,1,203,126,125,81.24%
3CE_벨벳립틴트_COZYCRUSH.png,2,201,122,123,14.10%
3CE_벨벳립틴트_COZYCRUSH.png,3,191,107,105,4.66%
3CE_벨벳립틴트_DAFFODIL.png,1,191,59,50,97.36%
3CE_벨벳립틴트_DAFFODIL.png,2,197,69,61,2.64%
3CE_벨벳립틴트_DEFINITION.png,1,130,34,36,66.88%
3CE_벨벳립틴트_DEFINITION.png,2,129,36,35,32.39%
3CE_벨벳립틴트_DEFINITION.png,3,140,44,46,0.73%
3CE_벨벳립틴트_FADEIN.png,1,151,78,93,90.35%
3CE_벨벳립틴트_FADEIN.png,2,165,98,110,9.49%
3CE_벨벳립틴트_FADEIN.png,3,178,115,127,0.17%
3CE_벨벳립틴트_GOINGRIGHT.png,1,207,86,76,100.00%
3CE_벨벳립틴트_KNOWBETTER.png,1,161,48,80,100.00%
3CE_벨벳립틴트_LIKEGENTLE.png,1,216,117,99,99.24%
3CE_벨벳립틴트_LIKEGENTLE.png,2,210,106,88,0.76%
3CE_벨벳립틴트_NEWNUDE.png,1,218,118,93,100.00%
3CE_벨벳립틴트_PINKBREAK.png,1,229,83,106,100.00%
3CE_벨벳립틴트_PRIVATE.png,1,181,0,0,74.74%
3CE_벨벳립틴트_PRIVATE.png,2,177,0,2,25.26%
3CE_벨벳립틴트_SIMPLYSPEAKING.png,1,218,63,51,99.24%
3CE_벨벳립틴트_SIMPLYSPEAKING.png,2,212,52,40,0.76%
3CE_벨벳립틴트_SPEAKUP.png,1,150,53,39,82.51%
3CE_벨벳립틴트_SPEAKUP.png,2,143,39,27,17.49%
3CE_벨벳립틴트_TAUPE.png,1,125,36,6,87.27%
3CE_벨벳립틴트_TAUPE.png,2,117,33,7,12.73%
3CE_벨벳립틴트_THINKAGAIN.png,1,210,97,78,99.74%
3CE_벨벳립틴트_THINKAGAIN.png,2,209,108,87,0.26%
3CE_벨벳립틴트_WALKNWALK.png,1,185,100,81,91.24%
3CE_벨벳립틴트_WALKNWALK.png,2,178,91,72,8.36%
3CE_벨벳립틴트_WALKNWALK.png,3,195,113,94,0.40%
3CE_블러매트립스틱_BREEZY MELODY.png,1,179,76,67,97.88%
3CE_블러매트립스틱_BREEZY MELODY.png,2,184,82,73,2.12%
3CE_블러매트립스틱_INTHEFOG.png,1,187,117,117,70.91%
3CE_블러매트립스틱_INTHEFOG.png,2,187,115,116,29.09%
3CE_블러매트립스틱_MAUVEDRIZZLE.png,1,121,41,56,97.59%
3CE_블러매트립스틱_MAUVEDRIZZLE.png,2,124,48,59,2.41%
3CE_블러매트립스틱_MISTYDAY.png,1,189,68,85,74.55%
3CE_블러매트립스틱_MISTYDAY.png,2,186,66,83,25.45%
3CE_블러매트립스틱_NEWTROWAVE.png,1,141,51,49,100.00%
3CE_블러매트립스틱_PEANUTBEIGE.png,1,170,104,87,80.93%
3CE_블러매트립스틱_PEANUTBEIGE.png,2,168,104,85,19.07%
3CE_블러매트립스틱_PURELAYER.png,1,201,87,92,95.93%
3CE_블러매트립스틱_PURELAYER.png,2,196,90,90,4.07%
3CE_블러매트립스틱_SALTYCINNAMON.png,1,134,76,68,100.00%
3CE_블러매트립스틱_TANGERINETANGO.png,1,165,68,63,100.00%
3CE_블러매트립스틱_UNKNOWNWAY.png,1,145,83,99,100.00%
3CE_블러워터틴트_BAKEBEIGE.png,1,192,93,69,72.79%
3CE_블러워터틴트_BAKEBEIGE.png,2,189,84,60,27.21%
3CE_블러워터틴트_BREEZEWAY.png,1,209,94,60,98.68%
3CE_블러워터틴트_BREEZEWAY.png,2,205,86,48,1.32%
3CE_블러워터틴트_CASUALAFFAIR.png,1,194,68,72,51.04%
3CE_블러워터틴트_CASUALAFFAIR.png,2,190,59,64,48.30%
3CE_블러워터틴트_CASUALAFFAIR.png,3,192,77,77,0.66%
3CE_블러워터틴트_CHASINGROSE.png,1,211,97,93,100.00%
3CE_블러워터틴트_CORALMOON.png,1,217,75,66,100.00%
3CE_블러워터틴트_DEARMARCH.png,1,186,101,94,100.00%
3CE_블러워터틴트_DOUBLEWIND.png,1,169,53,62,100.00%
3CE_블러워터틴트_EARLYHOUR.png,1,185,79,74,62.31%
3CE_블러워터틴트_EARLYHOUR.png,2,181,75,70,37.69%
3CE_블러워터틴트_FIRSTLETTER.png,1,214,89,75,100.00%
3CE_블러워터틴트_LAYDOWN.png,1,189,88,73,81.09%
3CE_블러워터틴트_LAYDOWN.png,2,185,81,66,18.91%
3CE_블러워터틴트_MOREPEACH.png,1,229,125,78,100.00%
3CE_블러워터틴트_NIGHTTALK.png,1,186,95,100,100.00%
3CE_블러워터틴트_PINKGUAVA.png,1,214,65,72,100.00%
3CE_블러워터틴트_PLAYOFF.png,1,217,28,31,48.86%
3CE_블러워터틴트_PLAYOFF.png,2,216,30,29,39.07%
3CE_블러워터틴트_PLAYOFF.png,3,216,19,21,12.07%
3CE_블러워터틴트_SEPIA.png,1,181,56,53,97.65%
3CE_블러워터틴트_SEPIA.png,2,182,54,55,2.21%
3CE_블러워터틴트_SEPIA.png,3,188,71,69,0.13%
3CE_블러워터틴트_SPOTPLAYER.png,1,222,45,64,95.21%
3CE_블러워터틴트_SPOTPLAYER.png,2,220,32,53,4.79%
3CE_블러워터틴트_WARMTH.png,1,205,114,96,98.55%
3CE_블러워터틴트_WARMTH.png,2,200,108,93,1.45%
3CE_샤인리플렉터_COLDEST.png,1,126,64,80,100.00%
3CE_샤인리플렉터_LILACGLAZE.png,1,186,115,134,100.00%
3CE_샤인리플렉터_MILKYSHADOW.png,1,176,126,107,99.99%
3CE_샤인리플렉터_MILKYSHADOW.png,2,170,118,102,0.01%
3CE_샤인리플렉터_NECTAR.png,1,125,71,65,100.00%
3CE_샤인리플렉터_OPALSHOWER.png,1,198,147,146,72.80%
3CE_샤인리플렉터_OPALSHOWER.png,2,200,150,152,26.94%
3CE_샤인리플렉터_OPALSHOWER.png,3,228,209,203,0.26%
3CE_샤인리플렉터_RAINORSHINE.png,1,199,103,110,99.17%
3CE_샤인리플렉터_RAINORSHINE.png,2,201,108,113,0.83%
3CE_샤인리플렉터_SOFTEST.png,1,204,131,124,100.00%
3CE_소프트매트립스틱_CHILLMOVE.png,1,143,76,71,100.00%
3CE_소프트매트립스틱_ETERNALWARM.png,1,175,112,91,82.37%
3CE_소프트매트립스틱_ETERNALWARM.png,2,179,118,96,16.00%
3CE_소프트매트립스틱_ETERNALWARM.png,3,168,105,84,1.63%
3CE_소프트매트립스틱_FOCUSONME.png,1,208,114,97,80.91%
3CE_소프트매트립스틱_FOCUSONME.png,2,201,106,90,19.09%
3CE_소프트매트립스틱_GIVINGPLEASURE.png,1,200,105,85,61.66%
3CE_소프트매트립스틱_GIVINGPLEASURE.png,2,206,112,92,38.34%
3CE_소프트매트립스틱_HAZYROSE.png,1,163,83,82,61.88%
3CE_소프트매트립스틱_HAZYROSE.png,2,164,81,82,33.55%
3CE_소프트매트립스틱_HAZYROSE.png,3,169,90,89,4.57%
3CE_소프트매트립스틱_KINDNLOVE.png,1,209,126,104,100.00%
3CE_소프트매트립스틱_MURMURING.png,1,208,129,117,100.00%
3CE_소프트매트립스틱_ORANGEBREEZE.png,1,169,90,68,97.44%
3CE_소프트매트립스틱_ORANGEBREEZE.png,2,179,100,79,2.56%
3CE_소프트매트립스틱_REDMUSE.png,1,204,78,71,95.65%
3CE_소프트매트립스틱_REDMUSE.png,2,193,67,57,4.11%
3CE_소프트매트립스틱_REDMUSE.png,3,209,86,88,0.24%
3CE_소프트매트립스틱_SENSUALBREEZE.png,1,178,106,94,95.10%
3CE_소프트매트립스틱_SENSUALBREEZE.png,2,186,116,104,4.58%
3CE_소프트매트립스틱_SENSUALBREEZE.png,3,169,96,84,0.32%
3CE_소프트매트립스틱_SMOKEPINK.png,1,196,97,91,99.41%
3CE_소프트매트립스틱_SMOKEPINK.png,2,203,110,102,0.59%
3CE_소프트매트립스틱_SOFTMELLOW.png,1,189,106,84,94.50%
3CE_소프트매트립스틱_SOFTMELLOW.png,2,195,113,92,5.28%
3CE_소프트매트립스틱_SOFTMELLOW.png,3,180,96,73,0.22%
3CE_소프트매트립스틱_SPEAKTOME.png,1,168,77,65,97.86%
3CE_소프트매트립스틱_SPEAKTOME.png,2,180,90,80,2.14%
3CE_소프트매트립스틱_UNSTAINEDRED.png,1,175,84,70,70.54%
3CE_소프트매트립스틱_UNSTAINEDRED.png,2,182,92,78,29.46%
3CE_소프트매트립스틱_WARMISHMOVE.png,1,192,121,90,97.10%
3CE_소프트매트립스틱_WARMISHMOVE.png,2,185,113,82,2.90%
3CE_소프트매트립스틱_WARNINGWEAR.png,1,212,128,96,100.00%
3CE_소프트매트립스틱_WAYBACK.png,1,181,118,102,78.64%
3CE_소프트매트립스틱_WAYBACK.png,2,178,114,98,21.36%
3CE_헤이지립클레이_BUTTERBEIGE.png,1,188,98,80,81.69%
3CE_헤이지립클레이_BUTTERBEIGE.png,2,179,88,70,15.80%
3CE_헤이지립클레이_BUTTERBEIGE.png,3,199,113,95,2.51%
3CE_헤이지립클레이_CHERRYFLUFF.png,1,174,68,81,71.60%
3CE_헤이지립클레이_CHERRYFLUFF.png,2,184,78,90,28.40%
3CE_헤이지립클레이_COMMONSTRANGER.png,1,176,72,62,87.04%
3CE_헤이지립클레이_COMMONSTRANGER.png,2,188,84,74,12.96%
3CE_헤이지립클레이_FIGGY.png,1,137,60,76,100.00%
3CE_헤이지립클레이_HIPAMINE.png,1,148,64,62,99.07%
3CE_헤이지립클레이_HIPAMINE.png,2,147,61,62,0.93%
3CE_헤이지립클레이_MAUVROWN.png,1,180,92,101,99.83%
3CE_헤이지립클레이_MAUVROWN.png,2,171,83,92,0.17%
3CE_헤이지립클레이_PAINTINGCOT.png,1,170,64,66,94.08%
3CE_헤이지립클레이_PAINTINGCOT.png,2,171,65,65,5.92%
3CE_헤이지립클레이_PLUMPUDDING.png,1,121,33,52,98.15%
3CE_헤이지립클레이_PLUMPUDDING.png,2,134,46,65,1.85%
3CE_헤이지립클레이_TYPEGIRL.png,1,176,68,94,94.78%
3CE_헤이지립클레이_TYPEGIRL.png,2,182,75,101,5.22%
3CE_헤이지립클레이_WARMBROWNIE.png,1,140,78,65,99.97%
3CE_헤이지립클레이_WARMBROWNIE.png,2,166,104,91,0.03%
3CE_헤이지립클레이_WHIPRED.png,1,161,50,53,97.26%
3CE_헤이지립클레이_WHIPRED.png,2,148,38,42,2.58%
3CE_헤이지립클레이_WHIPRED.png,3,165,55,55,0.17%
네이밍_듀이글래스립틴트_데어.png,1,213,99,73,79.64%
네이밍_듀이글래스립틴트_데어.png,2,219,108,80,20.36%
네이밍_듀이글래스립틴트_리플.png,1,229,82,62,100.00%
네이밍_듀이글래스립틴트_어바이드.png,1,134,49,57,99.80%
네이밍_듀이글래스립틴트_어바이드.png,2,127,46,52,0.20%
네이밍_듀이글래스립틴트_컴리.png,1,215,44,63,50.64%
네이밍_듀이글래스립틴트_컴리.png,2,211,39,58,49.36%
네이밍_듀이글래스립틴트_페르소나.png,1,231,90,107,99.67%
네이밍_듀이글래스립틴트_페르소나.png,2,233,98,114,0.33%
네이밍_듀이글래스립틴트_페얼리.png,1,73,8,26,100.00%
네이밍_듀이글래스립틴트_하운드.png,1,149,73,88,100.00%
네이밍_프라임포그립틴트_그레이트풀.png,1,101,13,23,54.60%
네이밍_프라임포그립틴트_그레이트풀.png,2,114,28,38,41.32%
네이밍_프라임포그립틴트_그레이트풀.png,3,137,54,63,4.07%
네이밍_프라임포그립틴트_뉴데이.png,1,163,76,58,99.34%
네이밍_프라임포그립틴트_뉴데이.png,2,184,97,79,0.66%
네이밍_프라임포그립틴트_렛인.png,1,173,68,70,40.13%
네이밍_프라임포그립틴트_렛인.png,2,189,83,82,33.50%
네이밍_프라임포그립틴트_렛인.png,3,188,82,84,26.37%
네이밍_프라임포그립틴트_리썸.png,1,146,54,55,50.14%
네이밍_프라임포그립틴트_리썸.png,2,145,54,53,39.37%
네이밍_프라임포그립틴트_리썸.png,3,132,40,41,10.49%
네이밍_프라임포그립틴트_아웃윗.png,1,128,39,43,76.94%
네이밍_프라임포그립틴트_아웃윗.png,2,129,41,40,19.53%
네이밍_프라임포그립틴트_아웃윗.png,3,135,46,50,3.54%
네이처리퍼블릭_허니멜팅립_고소한코코넛.png,1,191,96,83,77.32%
네이처리퍼블릭_허니멜팅립_고소한코코넛.png,2,169,88,74,22.68%
네이처리퍼블릭_허니멜팅립_무화과한스푼.png,1,253,167,157,99.70%
네이처리퍼블릭_허니멜팅립_무화과한스푼.png,2,253,177,163,0.30%
네이처리퍼블릭_허니멜팅립_블랙체리슈.png,1,229,89,123,88.63%
네이처리퍼블릭_허니멜팅립_블랙체리슈.png,2,237,98,130,11.37%
네이처리퍼블릭_허니멜팅립_살구가득.png,1,218,121,96,100.00%
네이처리퍼블릭_허니멜팅립_상큼달콤리치.png,1,210,95,103,99.31%
네이처리퍼블릭_허니멜팅립_상큼달콤리치.png,2,219,103,112,0.69%
네이처리퍼블릭_허니멜팅립_석류듬뿍.png,1,222,67,62,88.07%
네이처리퍼블릭_허니멜팅립_석류듬뿍.png,2,232,76,79,11.93%
네이처리퍼블릭_허니멜팅립_여리베리.png,1,210,83,98,91.93%
네이처리퍼블릭_허니멜팅립_여리베리.png,2,225,104,113,8.07%
네이처리퍼블릭_허니멜팅립_잘익은자두.png,1,143,62,53,100.00%
네이처리퍼블릭_허니멜팅립_쫀득복숭아.png,1,239,127,116,100.00%
네이처리퍼블릭_허니멜팅립_탱글포도.png,1,180,48,98,100.00%
누즈_무스립추얼_러비코랄.png,1,174,55,62,100.00%
누즈_무스립추얼_모브레인.png,1,132,64,72,100.00%
누즈_무스립추얼_무스비레드.png,1,152,48,56,100.00%
누즈_무스립추얼_베어베이지.png,1,133,59,61,83.12%
누즈_무스립추얼_베어베이지.png,2,134,60,60,16.88%
누즈_무스립추얼_키치핑크.png,1,190,76,90,99.94%
누즈_무스립추얼_키치핑크.png,2,185,69,84,0.06%
누즈_무스립추얼_플럼미.png,1,107,27,39,96.91%
누즈_무스립추얼_플럼미.png,2,103,22,34,2.85%
누즈_무스립추얼_플럼미.png,3,123,52,64,0.24%
누즈_컬러케어립밤_모브무브.png,1,155,57,58,91.87%
누즈_컬러케어립밤_모브무브.png,2,155,56,56,8.13%
누즈_컬러케어립밤_쏘레드.png,1,172,26,47,98.55%
누즈_컬러케어립밤_쏘레드.png,2,176,33,52,1.45%
누즈_컬러케어립밤_카밍코랄.png,1,252,59,43,100.00%
누즈_컬러케어립밤_프렌치누드.png,1,151,58,50,100.00%
누즈_컬러케어립밤_헤이우디.png,1,158,41,50,63.31%
누즈_컬러케어립밤_헤이우디.png,2,154,37,46,36.69%
누즈_케어립추얼_디핀체리.png,1,174,63,104,100.00%
누즈_케어립추얼_레디쉬허.png,1,154,65,74,100.00%
누즈_케어립추얼_몰튼피넛.png,1,156,80,82,93.54%
누즈_케어립추얼_몰튼피넛.png,2,156,81,80,6.46%
누즈_케어립추얼_바이선셋.png,1,150,64,69,100.00%
누즈_케어립추얼_쿨리쉬.png,1,161,67,95,100.00%
누즈_케어립추얼_쿨베이브.png,1,171,90,113,84.09%
누즈_케어립추얼_쿨베이브.png,2,166,85,107,15.91%
누즈_케어립추얼_탠드아워.png,1,164,81,95,100.00%
누즈_케어립추얼_포지로지.png,1,154,68,71,94.11%
누즈_케어립추얼_포지로지.png,2,154,68,68,5.89%
누즈_케어립추얼_핀베리.png,1,131,51,67,99.95%
누즈_케어립추얼_핀베리.png,2,122,46,62,0.05%
더샘_새미스시럽샷멜팅밤_그레이프잼.png,1,157,81,92,100.00%
더샘_새미스시럽샷멜팅밤_누가피넛.png,1,224,160,121,100.00%
더샘_새미스시럽샷멜팅밤_애플샤워.png,1,221,82,97,100.00%
더샘_새미스시럽샷멜팅밤_피그뮬리.png,1,192,81,80,100.00%
더샘_새미스시럽샷멜팅밤_피치콧.png,1,237,133,115,100.00%
더샘_새미스에이드샷틴트_로즈히비스커스.png,1,186,53,63,99.01%
더샘_새미스에이드샷틴트_로즈히비스커스.png,2,199,57,69,0.99%
더샘_새미스에이드샷틴트_리치캐모마일.png,1,235,79,117,100.00%
더샘_새미스에이드샷틴트_바이올렛진.png,1,181,83,112,76.53%
더샘_새미스에이드샷틴트_바이올렛진.png,2,172,79,108,23.47%
더샘_새미스에이드샷틴트_애플시나몬.png,1,178,73,72,66.84%
더샘_새미스에이드샷틴트_애플시나몬.png,2,184,80,76,33.16%
더샘_새미스에이드샷틴트_자몽허니.png,1,227,85,74,100.00%
더샘_새미스에이드샷틴트_피치우롱.png,1,220,70,84,100.00%
데이지크_멜팅캔디밤_누디피그.png,1,242,99,111,63.11%
데이지크_멜팅캔디밤_누디피그.png,2,239,93,106,36.89%
데이지크_멜팅캔디밤_로즈밀크티.png,1,213,91,89,100.00%
데이지크_멜팅캔디밤_리치크림.png,1,234,102,98,92.79%
데이지크_멜팅캔디밤_리치크림.png,2,233,99,96,7.21%
데이지크_멜팅캔디밤_슈가플럼.png,1,235,73,106,100.00%
데이지크_멜팅캔디밤_스윗포멜로.png,1,253,97,89,66.25%
데이지크_멜팅캔디밤_스윗포멜로.png,2,253,93,87,33.75%
데이지크_멜팅캔디밤_애플시나몬.png,1,212,74,61,100.00%
데이지크_멜팅캔디밤_젠틀피치.png,1,241,102,88,70.45%
데이지크_멜팅캔디밤_젠틀피치.png,2,237,96,85,29.55%
데이지크_멜팅캔디밤_체리피즈.png,1,251,85,122,77.75%
데이지크_멜팅캔디밤_체리피즈.png,2,253,93,131,22.25%
데이지크_멜팅캔디밤_캔디소다.png,1,255,81,106,100.00%
데이지크_멜팅캔디밤_크랜베리휩.png,1,233,71,103,100.00%
데이지크_무드글로우립스틱_누드펌킨.png,1,214,110,92,94.98%
데이지크_무드글로우립스틱_누드펌킨.png,2,209,104,85,5.00%
데이지크_무드글로우립스틱_누드펌킨.png,3,224,172,163,0.02%
데이지크_무드글로우립스틱_로즈힙.png,1,219,105,101,72.10%
데이지크_무드글로우립스틱_로즈힙.png,2,219,102,100,27.77%
데이지크_무드글로우립스틱_로즈힙.png,3,219,121,126,0.13%
데이지크_무드글로우립스틱_멜로우코랄.png,1,236,116,106,99.41%
데이지크_무드글로우립스틱_멜로우코랄.png,2,240,159,151,0.30%
데이지크_무드글로우립스틱_멜로우코랄.png,3,233,95,91,0.28%
데이지크_무드글로우립스틱_베이비살몬.png,1,238,153,136,99.51%
데이지크_무드글로우립스틱_베이비살몬.png,2,239,162,145,0.49%
데이지크_무드글로우립스틱_체리드롭.png,1,228,78,86,96.99%
데이지크_무드글로우립스틱_체리드롭.png,2,233,116,129,2.77%
데이지크_무드글로우립스틱_체리드롭.png,3,236,156,181,0.24%
데이지크_무드글로우립스틱_크림샌드.png,1,214,116,106,84.23%
데이지크_무드글로우립스틱_크림샌드.png,2,203,98,91,15.77%
데이지크_무드글로우립스틱_피치스.png,1,219,99,81,92.84%
데이지크_무드글로우립스틱_피치스.png,2,227,107,82,7.16%
데이지크_무드글로우립스틱_핑크베리.png,1,232,113,136,99.20%
