File Name,Color Index,Red,Green,Blue,Max Proportion,HEX,PCCS
3CE_드롭글로우젤_CALMING.png,1,163,79,96,100.00%,#a34f60,
3CE_드롭글로우젤_ESSENTIAL.png,1,166,84,88,58.71%,#a65458,
3CE_드롭글로우젤_MILDER.png,1,185,81,110,100.00%,#b9516e,
3CE_드롭글로우젤_NEAT.png,1,195,77,92,93.65%,#c34d5c,
3CE_드롭글로우젤_RAWAPPLE.png,1,209,36,73,70.15%,#d12449,
3CE_드롭글로우젤_SHY.png,1,219,59,91,100.00%,#db3b5b,
3CE_드롭글로우젤_VERYSURE.png,1,153,42,65,72.20%,#992a41,
3CE_드롭글로우젤_WEEKEND.png,1,146,68,66,99.97%,#924442,
3CE_드롭글로우젤_WONDER.png,1,123,38,70,99.47%,#7b2646,
3CE_드롭글로우젤_YOUTH.png,1,219,98,97,54.77%,#db6261,RPB
3CE_무드레시피매트립컬러_INKEDHEART.png,1,169,104,82,96.17%,#a96852,
3CE_무드레시피매트립컬러_ROWS.png,1,184,116,94,56.26%,#b8745e,
3CE_벨벳립틴트_ABSORBED.png,1,203,60,67,78.05%,#cb3c43,
3CE_벨벳립틴트_BESTEVER.png,1,228,8,31,99.54%,#e4081f,R
3CE_벨벳립틴트_BITTERHOUR.png,1,144,69,47,100.00%,#90452f,
3CE_벨벳립틴트_CASHMERENUDE.png,1,202,102,100,83.79%,#ca6664,RPB
3CE_벨벳립틴트_CHIDLIKE.png,1,225,28,4,92.63%,#e11c04,
3CE_벨벳립틴트_COZYCRUSH.png,1,203,126,125,81.24%,#cb7e7d,RPB
3CE_벨벳립틴트_DAFFODIL.png,1,191,59,50,97.36%,#bf3b32,
3CE_벨벳립틴트_DEFINITION.png,1,130,34,36,66.88%,#822224,
3CE_벨벳립틴트_FADEIN.png,1,151,78,93,90.35%,#974e5d,
3CE_벨벳립틴트_GOINGRIGHT.png,1,207,86,76,100.00%,#cf564c,
3CE_벨벳립틴트_KNOWBETTER.png,1,161,48,80,100.00%,#a13050,
3CE_벨벳립틴트_LIKEGENTLE.png,1,216,117,99,99.24%,#d87563,RPB
3CE_벨벳립틴트_NEWNUDE.png,1,218,118,93,100.00%,#da765d,
3CE_벨벳립틴트_PINKBREAK.png,1,229,83,106,100.00%,#e5536a,RPB
3CE_벨벳립틴트_PRIVATE.png,1,181,0,0,74.74%,#b50000,
3CE_벨벳립틴트_SIMPLYSPEAKING.png,1,218,63,51,99.24%,#da3f33,
3CE_벨벳립틴트_SPEAKUP.png,1,150,53,39,82.51%,#963527,
3CE_벨벳립틴트_TAUPE.png,1,125,36,6,87.27%,#7d2406,
3CE_벨벳립틴트_THINKAGAIN.png,1,210,97,78,99.74%,#d2614e,
3CE_벨벳립틴트_WALKNWALK.png,1,185,100,81,91.24%,#b96451,
3CE_블러매트립스틱_BREEZY MELODY.png,1,179,76,67,97.88%,#b34c43,
3CE_블러매트립스틱_INTHEFOG.png,1,187,117,117,70.91%,#bb7575,
3CE_블러매트립스틱_MAUVEDRIZZLE.png,1,121,41,56,97.59%,#792938,
3CE_블러매트립스틱_MISTYDAY.png,1,189,68,85,74.55%,#bd4455,
3CE_블러매트립스틱_NEWTROWAVE.png,1,141,51,49,100.00%,#8d3331,
3CE_블러매트립스틱_PEANUTBEIGE.png,1,170,104,87,80.93%,#aa6857,
3CE_블러매트립스틱_PURELAYER.png,1,201,87,92,95.93%,#c9575c,
3CE_블러매트립스틱_SALTYCINNAMON.png,1,134,76,68,100.00%,#864c44,
3CE_블러매트립스틱_TANGERINETANGO.png,1,165,68,63,100.00%,#a5443f,
3CE_블러매트립스틱_UNKNOWNWAY.png,1,145,83,99,100.00%,#915363,
3CE_블러워터틴트_BAKEBEIGE.png,1,192,93,69,72.79%,#c05d45,
3CE_블러워터틴트_BREEZEWAY.png,1,209,94,60,98.68%,#d15e3c,
3CE_블러워터틴트_CASUALAFFAIR.png,1,194,68,72,51.04%,#c24448,
3CE_블러워터틴트_CHASINGROSE.png,1,211,97,93,100.00%,#d3615d,
3CE_블러워터틴트_CORALMOON.png,1,217,75,66,100.00%,#d94b42,
3CE_블러워터틴트_DEARMARCH.png,1,186,101,94,100.00%,#ba655e,
3CE_블러워터틴트_DOUBLEWIND.png,1,169,53,62,100.00%,#a9353e,
3CE_블러워터틴트_EARLYHOUR.png,1,185,79,74,62.31%,#b94f4a,
3CE_블러워터틴트_FIRSTLETTER.png,1,214,89,75,100.00%,#d6594b,
3CE_블러워터틴트_LAYDOWN.png,1,189,88,73,81.09%,#bd5849,
3CE_블러워터틴트_MOREPEACH.png,1,229,125,78,100.00%,#e57d4e,R
3CE_블러워터틴트_NIGHTTALK.png,1,186,95,100,100.00%,#ba5f64,
3CE_블러워터틴트_PINKGUAVA.png,1,214,65,72,100.00%,#d64148,
3CE_블러워터틴트_PLAYOFF.png,1,217,28,31,48.86%,#d91c1f,
3CE_블러워터틴트_SEPIA.png,1,181,56,53,97.65%,#b53835,
3CE_블러워터틴트_SPOTPLAYER.png,1,222,45,64,95.21%,#de2d40,
3CE_블러워터틴트_WARMTH.png,1,205,114,96,98.55%,#cd7260,
3CE_샤인리플렉터_COLDEST.png,1,126,64,80,100.00%,#7e4050,
3CE_샤인리플렉터_LILACGLAZE.png,1,186,115,134,100.00%,#ba7386,
