user,name_product,total_score,pigmentation,longevity,application,hydration
28209,3CE_드롭글로우젤_CALMING,5,3,2,3,3
28209,3CE_드롭글로우젤_CALMING,5,3,2,3,3
28209,3CE_드롭글로우젤_CALMING,5,3,2,3,3
3434er****,3CE_드롭글로우젤_CALMING,4,3,1,2,3
3434er****,3CE_드롭글로우젤_CALMING,4,3,1,2,3
노징구,3CE_드롭글로우젤_CALMING,5,3,3,3,3
노징구,3CE_드롭글로우젤_CALMING,5,3,3,3,3
동동동동,3CE_드롭글로우젤_CALMING,5,3,2,3,3
동동동동,3CE_드롭글로우젤_CALMING,5,3,2,3,3
배뽀삐,3CE_드롭글로우젤_CALMING,5,3,1,3,3
배뽀삐,3CE_드롭글로우젤_CALMING,5,3,1,3,3
연비니,3CE_드롭글로우젤_CALMING,5,3,3,3,3
연비니,3CE_드롭글로우젤_CALMING,5,3,3,3,3
올령올,3CE_드롭글로우젤_CALMING,5,3,3,3,3
올령올,3CE_드롭글로우젤_CALMING,5,3,3,3,3
인생은아름다워,3CE_드롭글로우젤_CALMING,5,2,2,2,2
인생은아름다워,3CE_드롭글로우젤_CALMING,5,2,2,2,2
인생은아름다워,3CE_드롭글로우젤_CALMING,5,2,2,2,2
저는도둑이되었습니다,3CE_드롭글로우젤_CALMING,5,3,2,3,2
저는도둑이되었습니다,3CE_드롭글로우젤_CALMING,5,3,2,3,2
저는도둑이되었습니다,3CE_드롭글로우젤_CALMING,5,3,2,3,2
짱짱27,3CE_드롭글로우젤_CALMING,5,3,3,3,3
짱짱27,3CE_드롭글로우젤_CALMING,5,3,3,3,3
코덕대학생,3CE_드롭글로우젤_CALMING,3,2,2,2,2
코덕대학생,3CE_드롭글로우젤_CALMING,3,3,1,3,2
코덕대학생,3CE_드롭글로우젤_CALMING,3,3,1,3,2
코덕대학생,3CE_드롭글로우젤_CALMING,3,2,2,2,2
피곤한팽도리,3CE_드롭글로우젤_CALMING,5,3,2,3,3
피곤한팽도리,3CE_드롭글로우젤_CALMING,5,3,2,3,3
chun****,3CE_드롭글로우젤_CALMING,5,2,2,2,2
chun****,3CE_드롭글로우젤_CALMING,5,2,2,2,2
gawon****,3CE_드롭글로우젤_CALMING,5,2,2,3,2
gawon****,3CE_드롭글로우젤_CALMING,5,3,2,2,2
gawon****,3CE_드롭글로우젤_CALMING,5,3,2,2,2
gawon****,3CE_드롭글로우젤_CALMING,5,2,2,3,2
ghgh****,3CE_드롭글로우젤_CALMING,5,3,3,3,3
ghgh****,3CE_드롭글로우젤_CALMING,5,3,3,3,3
hm0919****,3CE_드롭글로우젤_CALMING,5,3,3,3,3
hm0919****,3CE_드롭글로우젤_CALMING,5,3,3,3,3
juyeon****,3CE_드롭글로우젤_CALMING,5,3,3,3,3
juyeon****,3CE_드롭글로우젤_CALMING,5,3,3,3,3
k202403170****,3CE_드롭글로우젤_CALMING,5,3,3,3,3
k202403170****,3CE_드롭글로우젤_CALMING,5,3,3,3,3
kimkh9****,3CE_드롭글로우젤_CALMING,5,3,3,3,2
kimkh9****,3CE_드롭글로우젤_CALMING,5,3,3,3,2
Kocon78,3CE_드롭글로우젤_CALMING,4,3,1,2,3
Kocon78,3CE_드롭글로우젤_CALMING,4,3,1,2,3
Kocon78,3CE_드롭글로우젤_CALMING,4,3,1,2,3
minji00****,3CE_드롭글로우젤_CALMING,5,3,2,3,3
minji00****,3CE_드롭글로우젤_CALMING,5,3,2,3,3
rlarbfla****,3CE_드롭글로우젤_CALMING,5,3,3,3,3
rlarbfla****,3CE_드롭글로우젤_CALMING,5,3,3,3,3
s20zo11,3CE_드롭글로우젤_CALMING,5,3,1,3,3
s20zo11,3CE_드롭글로우젤_CALMING,5,3,1,3,3
sangwon****,3CE_드롭글로우젤_CALMING,5,3,2,3,3
sangwon****,3CE_드롭글로우젤_CALMING,5,3,2,3,3
wldms****,3CE_드롭글로우젤_CALMING,5,2,2,2,3
wldms****,3CE_드롭글로우젤_CALMING,5,2,2,2,3
wtcutel****,3CE_드롭글로우젤_CALMING,5,3,2,3,3
wtcutel****,3CE_드롭글로우젤_CALMING,5,3,2,3,3
wtcutel****,3CE_드롭글로우젤_CALMING,5,3,2,3,3
wtcutel****,3CE_드롭글로우젤_CALMING,5,3,2,3,3
베흐,3CE_드롭글로우젤_ESSENTIAL,5,3,2,3,3
유키유키,3CE_드롭글로우젤_ESSENTIAL,4,2,2,2,3
점점열받아올영씨,3CE_드롭글로우젤_ESSENTIAL,5,3,2,3,3
쿨톤박사,3CE_드롭글로우젤_ESSENTIAL,4,3,1,3,3
피나코,3CE_드롭글로우젤_ESSENTIAL,5,3,2,3,3
ekgml****,3CE_드롭글로우젤_ESSENTIAL,5,2,2,2,3
lsm09****,3CE_드롭글로우젤_ESSENTIAL,2,2,2,2,2
miniini,3CE_드롭글로우젤_ESSENTIAL,5,3,2,3,3
shal****,3CE_드롭글로우젤_ESSENTIAL,5,3,3,3,3
shal****,3CE_드롭글로우젤_ESSENTIAL,4,2,2,3,3
뚜비띠,3CE_드롭글로우젤_ESSENTIAL,5,3,2,3,3
로이클,3CE_드롭글로우젤_ESSENTIAL,4,3,2,3,3
로이클,3CE_드롭글로우젤_ESSENTIAL,4,3,2,3,3
모모와인절미,3CE_드롭글로우젤_ESSENTIAL,4,3,1,3,3
베흐,3CE_드롭글로우젤_ESSENTIAL,5,3,2,3,3
영원히핑크올리브,3CE_드롭글로우젤_ESSENTIAL,4,2,2,2,3
채현,3CE_드롭글로우젤_ESSENTIAL,4,3,1,2,2
쿨톤박사,3CE_드롭글로우젤_ESSENTIAL,4,3,1,3,3
쿨톤박사,3CE_드롭글로우젤_ESSENTIAL,4,3,1,3,3
쿨톤박사,3CE_드롭글로우젤_ESSENTIAL,5,3,3,3,3
프헤즈,3CE_드롭글로우젤_ESSENTIAL,5,2,2,2,3
피나코,3CE_드롭글로우젤_ESSENTIAL,5,3,2,3,3
dldmswl****,3CE_드롭글로우젤_ESSENTIAL,5,3,3,3,3
ekgml****,3CE_드롭글로우젤_ESSENTIAL,5,2,2,2,3
jinmeili****,3CE_드롭글로우젤_ESSENTIAL,5,3,2,2,2
qortk****,3CE_드롭글로우젤_ESSENTIAL,5,3,2,3,3
sukl****,3CE_드롭글로우젤_ESSENTIAL,5,3,3,3,3
강만지,3CE_드롭글로우젤_MILDER,5,2,2,2,3
금붕어튀김,3CE_드롭글로우젤_MILDER,5,2,2,2,2
밍하,3CE_드롭글로우젤_MILDER,5,3,3,3,3
밍하,3CE_드롭글로우젤_MILDER,5,3,3,3,3
바보동,3CE_드롭글로우젤_MILDER,4,2,1,3,3
바보동,3CE_드롭글로우젤_MILDER,4,2,1,2,3
아기곤듀,3CE_드롭글로우젤_MILDER,5,3,1,3,3
얘우니,3CE_드롭글로우젤_MILDER,5,3,2,3,3
에스트라광인,3CE_드롭글로우젤_MILDER,5,2,2,3,3
창가에햇살,3CE_드롭글로우젤_MILDER,5,3,3,3,2
창가에햇살,3CE_드롭글로우젤_MILDER,5,2,2,2,3
창가에햇살,3CE_드롭글로우젤_MILDER,5,3,3,3,3
창가에햇살,3CE_드롭글로우젤_MILDER,5,3,3,3,3
chlakflsk,3CE_드롭글로우젤_MILDER,5,3,2,3,3
ckjin****,3CE_드롭글로우젤_MILDER,5,2,2,2,2
cosmesoom,3CE_드롭글로우젤_MILDER,5,3,3,3,3
cosmesoom,3CE_드롭글로우젤_MILDER,5,3,3,3,3
jiminss****,3CE_드롭글로우젤_MILDER,3,2,2,2,2
k202312155****,3CE_드롭글로우젤_MILDER,3,3,3,2,3
lousctg****,3CE_드롭글로우젤_MILDER,5,3,1,3,3
mrkang****,3CE_드롭글로우젤_MILDER,5,3,2,3,2
rosepeach,3CE_드롭글로우젤_MILDER,5,3,2,3,3
rosepeach,3CE_드롭글로우젤_MILDER,5,3,2,3,3
sunny****,3CE_드롭글로우젤_MILDER,5,3,1,3,3
깅다잉,3CE_드롭글로우젤_NEAT,3,3,1,3,3
꽉,3CE_드롭글로우젤_NEAT,3,2,1,2,2
뀨쮸,3CE_드롭글로우젤_NEAT,5,3,2,3,2
나앙니이,3CE_드롭글로우젤_NEAT,5,3,3,3,3
도도도도9999,3CE_드롭글로우젤_NEAT,5,3,2,3,3
도도도도9999,3CE_드롭글로우젤_NEAT,5,3,2,3,3
도도도도9999,3CE_드롭글로우젤_NEAT,5,3,2,3,3
메론집착녀,3CE_드롭글로우젤_NEAT,5,3,2,3,3
메론집착녀,3CE_드롭글로우젤_NEAT,5,3,2,3,3
민둥산2,3CE_드롭글로우젤_NEAT,4,2,2,2,2
솔솔솔솔,3CE_드롭글로우젤_NEAT,5,3,2,3,3
우유빙수,3CE_드롭글로우젤_NEAT,4,1,2,2,2
창가에햇살,3CE_드롭글로우젤_NEAT,5,3,3,3,3
창가에햇살,3CE_드롭글로우젤_NEAT,5,1,2,3,2
항상빈,3CE_드롭글로우젤_NEAT,5,3,1,3,3
aco****,3CE_드롭글로우젤_NEAT,4,3,1,3,3
ad****,3CE_드롭글로우젤_NEAT,5,3,2,2,3
choiji****,3CE_드롭글로우젤_NEAT,4,3,2,2,3
haeun1110,3CE_드롭글로우젤_NEAT,5,2,1,2,3
haeun1110,3CE_드롭글로우젤_NEAT,5,2,1,2,3
sun3057****,3CE_드롭글로우젤_NEAT,5,3,2,3,3
suz8315,3CE_드롭글로우젤_NEAT,5,3,2,3,3
2BBUJIAE,3CE_드롭글로우젤_RAWAPPLE,5,3,3,3,3
공쥬2131,3CE_드롭글로우젤_RAWAPPLE,5,2,2,2,2
꺄로롱,3CE_드롭글로우젤_RAWAPPLE,3,3,1,3,3
먼순내,3CE_드롭글로우젤_RAWAPPLE,5,2,3,3,2
메론집착녀,3CE_드롭글로우젤_RAWAPPLE,5,3,3,3,3
명이랑해,3CE_드롭글로우젤_RAWAPPLE,5,3,1,2,3
미남맘,3CE_드롭글로우젤_RAWAPPLE,1,1,1,2,2
